,CountryName,MNOName,Rank,Virtual
41,Democratic Republic of the Congo,Africell,3,False
42,Democratic Republic of the Congo,Airtel,4,False
43,Democratic Republic of the Congo,Supercell,5,False
44,Democratic Republic of the Congo,SemaTel,6,False
45,Democratic Republic of the Congo,U-Com,7,False
46,Democratic Republic of the Congo,Smile,-,False
47,Djibouti,Evatis,1,False
48,Egypt,Vodafone Egypt,1,False
49,Egypt,Orange(formerly Mobinil),2,False
50,Egypt,Etisalat,3,False
51,Egypt,We (by Telecom Egypt),4,False
52,Equatorial Guinea,Orange,1,False
53,Equatorial Guinea,Muni,2,False
54,Equatorial Guinea,Gecomsa,3,False
55,Eritrea,Eritel,1,False
56,Ethiopia,Ethiotelecom,1,False
57,Ethiopia,"Safaricom Telecommunications Ethiopia
","2
",False
58,Gabon,"Airtel(formerly Celtel, Zain)",1,False
